Title,Price,Make,Model,YOM,Mileage (km),Gear,Fuel Type,Engine (cc),URL
Toyota Yaris Cross Hybrid 2024 Car Unregistered (Recondition),"Rs. 15,200,000",Toyota,Yaris Cross Hybrid,2024,6000,Automatic,Hybrid,1500,https://riyasewana.com/buy/toyota-yaris-cross-sale-colombo-11200089
Suzuki Wagon R Custom Z 2023 Car Unregistered (Recondition),"Rs. 8,250,000",Suzuki,Wagon R Custom Z,2023,500,Automatic,Hybrid,660,https://riyasewana.com/buy/suzuki-wagon-r-sale-malabe-11200941
Toyota Vitz Edition 2 2018 Car (Used),"Rs. 7,950,000",Toyota,Vitz Edition 2,2018,85000,Automatic,Petrol,1000,https://riyasewana.com/buy/toyota-vitz-edition-sale-homagama-11246604
Suzuki Wagon R Custom Hybrid ZX 2024 Car Unregistered (Recondition),"Rs. 8,300,000",Suzuki,Wagon R Custom Hybrid ZX,2024,3300,Automatic,Hybrid,660,https://riyasewana.com/buy/suzuki-wagon-r-sale-colombo-11221946
Toyota Corona CE 190 1995 Car (Used),Negotiable,Toyota,Corona CE 190,1995,427000,Manual,Diesel,2000,https://riyasewana.com/buy/toyota-corona-ce-sale-ja-ela-11246597
Suzuki Spacia 2017 Car (Used),Negotiable,Suzuki,Spacia,2017,177000,Automatic,Hybrid,650,https://riyasewana.com/buy/suzuki-spacia-sale-kalutara-11246601
Toyota Corolla Dx Wagon KE72 1986 Car (Used),"Rs. 1,525,000",Toyota,Corolla Dx Wagon KE72,1986,149650,Manual,Petrol,1290,https://riyasewana.com/buy/toyota-corolla-dx-sale-kegalle-11246596
Hyundai Sonata H Matic 2003 Car (Used),"Rs. 3,200,000",Hyundai,Sonata H Matic,2003,200000,Automatic,Petrol,2000,https://riyasewana.com/buy/hyundai-sonata-h-sale-kadawatha-11246595
Nissan VY11 AD Wagon 2001 Car (Used),"Rs. 3,300,000",Nissan,VY11 AD Wagon,2001,178000,Automatic,Petrol,1300,https://riyasewana.com/buy/nissan-vy11-ad-sale-ja-ela-11246594
Toyota Roomy GT Turbo 2025 Car Brand New,"Rs. 10,850,000",Toyota,Roomy GT Turbo,2025,300,Automatic,Petrol,1000,https://riyasewana.com/buy/toyota-roomy-gt-sale-colombo-11246593
Suzuki Maruti 2010 Car (Used),"Rs. 2,185,000",Suzuki,Maruti,2010,35100,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-maruti-sale-horana-11246589
Kia Optima 2013 Car (Used),"Rs. 12,200,000",Kia,Optima,2013,49000,Automatic,Petrol,2000,https://riyasewana.com/buy/kia-optima-sale-pannipitiya-11246575
Mitsubishi Lancer Cs1 GLX 2008 Car (Used),"Rs. 6,350,000",Mitsubishi,Lancer Cs1 GLX,2008,158000,Automatic,Petrol,1300,https://riyasewana.com/buy/mitsubishi-lancer-cs1-sale-kurunegala-11246572
Suzuki Alto 2010 Car (Used),"Rs. 2,965,000",Suzuki,Alto,2010,84000,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-alto-sale-kurunegala-11246569
Suzuki Maruti 2011 Car (Used),Negotiable,Suzuki,Maruti,2011,90000,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-maruti-sale-kurunegala-11246566
Nissan FB15 2000 Car (Used),"Rs. 4,200,000",Nissan,FB15,2000,175000,Automatic,Petrol,1500,https://riyasewana.com/buy/nissan-fb15-sale-homagama-11246562
